A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
2462721471.4589777,1.6898191515429142,39869568.92677156,0.03724225513290785,55997642.334056854,0.10083863349311828,2452967.3567541265,0.0011110062632231417,0.0,0.0,0.0,0.0
0.0,0.0,140721192.0449644,0.1169348324441285,0.0,0.0,152560572.18649364,0.05938302057564471,985842173.5320356,0.7333243700050159,0.0,0.0
0.0,0.0,36611457.29547962,0.03576502468616155,1259259128.1916187,2.1734731581591706,810516.5130237096,0.0003736470232404657,0.0,0.0,0.0,0.0
2217481830.205008,2.0123236732234675,35006377.60801719,0.045842847411092943,1558067653.8236756,3.576518215273823,0.0,0.0,0.0,0.0,0.0,0.0
387888948.17120814,0.327400657242179,392511062.0935889,0.42411079679129604,1779120082.0591612,3.6020326887032073,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,62634421.037608266,0.0705839856823096,39802945.202281,0.08536438502304454,0.0,0.0,287942851.93083096,0.30420186063371907,0.0,0.0
2570076551.967683,1.99942909300721,61309456.81356442,0.06764101822645763,1799411041.663907,3.528878522460391,0.0,0.0,0.0,0.0,0.0,0.0
2568317770.6932325,1.9977062198525997,19344960.39428022,0.020752885560885538,720720652.1348083,1.4057781166864296,0.0,0.0,0.0,0.0,0.0,0.0
2949770414.2978296,2.013024416825802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51110035.5800177,0.039174967799840255,23775478.514814228,0.024540116795019433,135474445.509921,0.25896217784231085,40463307.1390384,0.020214181775131474,0.0,0.0,0.0,0.0
2436438089.533712,2.017053854603992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1943786289.1820147,1.221496166937236,0.0,0.0,2276965625.5337543,3.5398180005916204,0.0,0.0,0.0,0.0,0.0,0.0
