Expected Annual Damage,Total Investment Costs,Expected Number of Deaths
2118319865.9408588,0.0,3.413381000627528
173001929.02163228,0.0,0.18767154219971877
4651509912.228491,0.0,4.801789599260861
259253269.9093331,0.0,0.2050730908741885
2489450915.175339,0.0,1.8576491626697385
174213536.8218233,0.0,0.2542302903595676
1663295239.2004108,0.0,1.1445048915649192
2372536585.992521,0.0,1.9466321895579826
1089574707.7143543,0.0,0.9248877325799535
2882201458.552595,0.0,1.7782285921968972
2610820390.950482,0.0,1.8235336730210538
819719690.7582847,0.0,1.1412812948485798
3961475596.500853,0.0,2.6361693703103515
147398247.8631512,0.0,0.21055109781125278
3185576307.6938286,0.0,2.208502373431383
614817711.7879624,0.0,0.5055104818071642
479276303.974466,0.0,0.6287372541470126
619540238.64957,0.0,0.41172157677069626
2901679218.762811,0.0,2.4219145662122075
2519483609.4181614,0.0,2.2455738698430863
3206771108.898981,0.0,1.8819935585494516
733877815.900117,0.0,0.7843667681384947
1207292558.1273992,0.0,2.251685399847972
430449083.7569003,0.0,0.43458611334446473
157096011.3031253,0.0,0.13647291639447245
1555498739.048316,0.0,3.1256913554166514
339386741.7182555,0.0,0.25936411921259167
2474039425.420595,0.0,2.89726456929995
2577185638.703777,0.0,4.052769009885312
1088021300.1049042,0.0,1.0307396676786404
2850604745.3310003,0.0,1.8447722593222007
445942699.025464,0.0,0.43826653077183375
104298706.20809703,0.0,0.1421106609163454
670556048.4180216,0.0,0.4304547517491471
2130396820.6055613,0.0,1.6035013366321942
1543607696.6962328,0.0,1.18885268111357
2887772781.995005,0.0,2.3902741452679304
2733438035.8312807,0.0,1.857840804109523
1571386403.9412713,0.0,3.3235794033169617
953516062.4687908,0.0,1.1046741612983608
2119031643.3778472,0.0,1.8061745318297144
1053482734.2882304,0.0,0.789272301598853
498617481.7663044,0.0,0.3114757795121941
906375472.773668,0.0,0.5383822224793312
940486194.6033787,0.0,1.5102961726808162
925646759.7126949,0.0,0.5711562933447605
1953943491.4243958,0.0,3.29549383973821
302673059.9709018,0.0,0.3636166805151417
3028967746.6847196,0.0,1.7810202290900528
1633200707.5717359,0.0,1.08921355718011
2458212555.8242054,0.0,1.817303721954227
2698909876.769513,0.0,1.783366049009246
200156782.4565442,0.0,0.279985661607893
763798828.7119212,0.0,0.7556366185010037
459496703.24916524,0.0,0.5522294841426083
1527330621.770121,0.0,2.1714537382916266
3045246676.879795,0.0,3.795782642397932
1451167355.2278466,0.0,1.9424161807062692
144059977.2744993,0.0,0.1976575959147634
301507625.00021654,0.0,0.5542621539913547
1148277108.3324995,0.0,1.0175077409802462
182685850.42879233,0.0,0.27698893669468777
2888485290.6907525,0.0,1.783136002004064
3123796672.677665,0.0,1.81609800066932
94568935.80281806,0.0,0.14733266898461636
1646689336.043002,0.0,0.9263555860599499
620214699.4174368,0.0,0.4567931638088861
2603409124.1972103,0.0,1.8168475333306218
1087022535.2716963,0.0,1.0031935102901004
345376811.01588136,0.0,0.2607332220514882
2742601332.0888095,0.0,1.7740819415796567
1637430758.6698062,0.0,2.689176062145543
2432144752.3168874,0.0,1.7836021775584203
1355658413.2549372,0.0,0.9679446195147852
604902617.3606545,0.0,0.8046602495438733
597480689.2460101,0.0,0.4824366796888752
2399596103.3321447,0.0,3.2099023536326747
3561283439.739001,0.0,3.3166632060651566
3204544617.0804157,0.0,1.8106016465594643
2916869872.23947,0.0,1.4550833167240855
3140837994.055724,0.0,2.180376345474095
3057385998.9468446,0.0,1.8052812123240327
436404672.78132206,0.0,0.3045481486156809
1329191335.9147317,0.0,1.0569000957471486
2629709897.1533723,0.0,1.853231032056486
656412095.0625983,0.0,0.5735077674242473
1870824904.235214,0.0,3.3856236406333267
2712120090.038465,0.0,1.7943449366541966
520496461.005117,0.0,0.5599792420388751
1864941547.5764222,0.0,1.55712786726413
1116565698.548715,0.0,0.8450378965349741
1070847850.6102123,0.0,0.8544272248156741
3177458439.010033,0.0,1.7914066510934847
2003819177.8582232,0.0,1.8286545818618767
929191012.1485633,0.0,0.7035792647660525
2209683581.284415,0.0,2.0066986793144794
3453047735.565232,0.0,3.8532556056117704
3358357325.316539,0.0,4.06385091806924
439920075.9790534,0.0,0.4197054156735028
2476659106.995502,0.0,2.137665461583205
2924282945.7305207,0.0,1.824610630489913
165535232.68488622,0.0,0.16287512326234732
2721171761.031838,0.0,1.9215856260288269
2527048671.177799,0.0,3.4665650056795436
110700648.09000392,0.0,0.15715149584502486
203422078.47336307,0.0,0.19989788314146645
730117232.2634182,0.0,0.806242586562316
3588035964.2183833,0.0,2.5566569114678472
1164213152.9968035,0.0,0.8056942244562169
2187386055.093479,0.0,3.0823971835349475
383830438.8652179,0.0,0.6294963537927575
1989477750.566769,0.0,1.8128202268619127
2740135361.290481,0.0,1.771547138324764
